#subid,onset,offset,category,proportion,non_target_proportion,mean_duration,non_target_mean_duration,frequency,non_target_frequency,number,non_target_number
7206,31.565,34.565,1,0.61167,0.28833,1.835,0.865,20,20,1,1
7206,37.676,40.676,2,0.77778,0.17778,1.1667,0.53333,40,20,2,1
7206,56.166,59.166,3,0.81133,0.14422,2.434,0.21633,20,40,1,2
7206,65.87,68.87,3,0,0.87667,0,0.87667,0,60,0,3
7206,87.191,90.191,3,0.51411,0.32222,1.5423,0.48333,20,40,1,2
7206,89.339,92.339,3,0,0.73333,0,0.73333,0,60,0,3
7206,112.24,115.24,3,0.60256,0.37522,1.8077,1.1257,20,20,1,1
7206,113.61,116.61,3,0.664,0,1.992,0,20,0,1,0
7206,133.23,136.23,3,0.94444,0,1.4167,0,40,0,2,0
7206,142.25,145.25,2,0,0.86667,0,1.3,0,40,0,2
7206,143.7,146.7,2,0,0.86667,0,1.3,0,40,0,2
7206,153.75,156.75,1,0.93922,0.060778,2.8177,0.18233,20,20,1,1
7206,178.27,181.27,2,0,1,0,3,0,20,0,1
7206,179.64,182.64,2,0,1,0,3,0,20,0,1
7206,185.07,188.07,2,0.81189,0.15478,2.4357,0.46433,20,20,1,1
7206,190.67,193.67,2,0.064556,0.52433,0.19367,0.7865,20,40,1,2
7206,197.41,200.41,3,0.54744,0.40811,0.82117,0.61217,40,40,2,2
7206,210.84,213.84,2,0.64156,0.28067,1.9247,0.421,20,40,1,2
7206,222.79,225.79,3,0.803,0.041444,1.2045,0.12433,40,20,2,1
7206,251.81,254.81,1,0.92222,0,1.3833,0,40,0,2,0
7206,269.67,272.67,2,0.35667,0,0.2675,0,80,0,4,0
7206,292.87,295.87,2,0,1,0,3,0,20,0,1
7206,297.18,300.18,1,0,0.7,0,1.05,0,40,0,2
7206,309.79,312.79,1,0.75556,0.2,2.2667,0.3,20,40,1,2
7206,312.74,315.74,2,0,0.75267,0,1.129,0,40,0,2
7206,316.67,319.67,2,0,0.278,0,0.834,0,20,0,1
7206,316.67,319.67,2,0,0.278,0,0.834,0,20,0,1
7206,323.46,326.46,1,0,0.387,0,1.161,0,20,0,1
7206,323.46,326.46,1,0,0.387,0,1.161,0,20,0,1
7206,326.72,329.72,1,0.507,0.47078,1.521,1.4123,20,20,1,1
7206,368.35,371.35,3,0.17289,0.79378,0.51867,1.1907,20,40,1,2
7206,375.2,378.2,2,0.033,0.74478,0.099,0.55858,20,80,1,4
7206,376.98,379.98,2,0,0.68889,0,0.51667,0,80,0,4
7206,379.61,382.61,2,0,0.962,0,2.886,0,20,0,1
7206,379.61,382.61,2,0,0.962,0,2.886,0,20,0,1
7206,379.61,382.61,2,0,0.962,0,2.886,0,20,0,1
7206,383.48,386.48,3,0.3,0.32889,0.9,0.32889,20,60,1,3
7206,385.37,388.37,3,0,0.75556,0,0.75556,0,60,0,3
7206,387.68,390.68,3,0,0.31844,0,0.95533,0,20,0,1
7206,393.28,396.28,1,0,0.2,0,0.3,0,40,0,2
7206,443.77,446.77,3,0.72433,0.27567,2.173,0.827,20,20,1,1
7206,446.76,449.76,3,0.56889,0,1.7067,0,20,0,1,0
